study_accession	reason	study_title
PRJNA899435	soil metazoan suggests focus on animals (nematodes/mites) not microbes; may or may not be vineyard	Studies on soil metazoan of agroecosystems
PRJNA1355179	QV Agricultural soil - cryptic, no vineyard signal in title	QV Agricultural soil Metagenome
PRJNA1439843	iCOSHELLs cryptic project name; small (10 runs)	iCOSHELLs
PRJNA1441229	Environmental DNA in agricultural systems of southern Italy - generic agricultural; may include vineyards	Environmental DNA in agricultural systems of southern Italy Raw sequence reads
PRJNA782964	Balaton Uplands slopes - is a wine region (Hungary), but title doesn't confirm vineyard samples	soils from the Balaton Uplands slopes Targeted loci environmental
PRJNA825668	Soil Management, Aggregate Size, Fungal Community - no explicit vineyard mention but plausibly related	Soil Management, Aggregate Size and Fungal Community - Structure and Function
PRJEB54785	"CV-vigne-sol - French for ""cv vine-soil"", almost certainly vineyard"	CV-vigne-sol
PRJNA655455	Grillo Soils Sicily - Grillo is a Sicilian wine grape; likely vineyard but verify	Grillo Soils Sicily
PRJNA730439	Rhizosphere Scale - generic title, no vineyard signal	Rhizosphere Scale
PRJNA848942	Hunter Valley Soils - Hunter Valley is a major Australian wine region; likely vineyard but verify	Hunter Valley Soils
PRJNA847708	method paper on barcoding markers; samples may or may not be vineyard	Quantifying trade-offs in the choice of ribosomal barcoding markers for fungal amplicon sequencing
