study_accession	curation_status	n_runs	n_samples	study_title	first_public_year	platforms	targets	countries
PRJNA1311317	KEEP	389	195	Root, soil, and fruit microbiota of Vitis vinifera cv. Pigato under different inoculum treatments across vineyards and phenological stages	2026	ILLUMINA	16S V4, 18S, ITS2	
PRJNA1230266	KEEP	347	347	Vineyard groundcovers shift microbial communities both near and beyond their root zones	2026	ILLUMINA	16S (unspecified), ITS1, ITS2	USA: Pennsylvania, Rock Springs
PRJEB74740	KEEP	304	304	Ecotoxicological impact of conventional, organic and biodynamic viticultural systems and associated practices on soil microbiota in various French territories	2026	ILLUMINA		France
PRJEB90149	KEEP	94	94	Soil metagenomic study of the microbiome harbored by two Vitis vinifera cultivars under different irrigation strategies in Alentejo, Portugal for two growing seasons.	2026	ILLUMINA	16S V4-V5, ITS1	Portugal
PRJEB112833	KEEP	42	42	Effects of MSW-compost amendment on the vineyard soil microbiota	2026	ILLUMINA		Italy
PRJNA1066414	KEEP	42	21	Microbial diversities in vineyard soils	2026	ILLUMINA		China
PRJNA1400748	KEEP	36	36	Vineyard soil microbiome under dinotefuran treatment Genome sequencing	2026	ILLUMINA	16S (unspecified), ITS	
PRJEB104219	KEEP	24	24	Immediate effects of reduced tillage on soil health in a rainfed vineyard under Mediterranean conditions	2026	ILLUMINA	16S (unspecified)	Spain
PRJNA1447403	KEEP	24	24	Bolgheri (Tuscany, Italy) vineyard rhizosphere microbiome	2026	ELEMENT		
PRJNA921747	KEEP	15	5	Effects of Vineyard Agro-management Practices on Soil Microbial Community Composition, and Diversity	2026	ILLUMINA		Israel: Golan Heights
PRJNA1453436	KEEP	12	12	Eukaryotic ITS2 sequences extracted from elemental sulfur treated Southern Okanagan vineyard soil	2026	ILLUMINA	ITS2	
PRJNA1453704	KEEP	12	12	Bacteria V3V4 sequences extracted from elemental sulfur treated Southern Okanagan vineyard soil	2026	ILLUMINA	ITS2	
PRJEB84392	KEEP	8	8	Taxonomic and functional characterization of the rhizobiome under different edaphic conditions within a vineyard plot.	2026	ILLUMINA		Portugal
